3 Million Face Masks Thrown Away Every Minute – Here's Why That's a Problem - Videos from The Weather Channel. COVID-19 face masks may present a serious plastic problem. Here's why. - Videos from The Weather Channel | weather.com.,0
"This Year's Biggest Grammys Trend? Coordinating Masks. As seen on Harry Styles, Taylor Swift, and Megan Thee Stallion.",1
"The Best Grammy Fashion Goes to… Mask-to-Gown Matching. Take note from stars like Taylor Swift, Harry Styles and Megan Thee Stallion: For dressing up this spring, start with the mask.",2
"Flyers Rebuffing Masks Face Extended FAA 'Zero-Tolerance' Stance. The extension of the policy means it will last at least as long as the federal government requires mask use on flights, the agency said in the ...",0
Flyers rebuffing masks face extended FAA ‘zero-tolerance’ stance. The FAA has begun about 20 enforcement cases and is reviewing more than 450 cases of reported unruly passengers.,0
A San Antonio man spoke out against Texas ending mask mandate. Then his noodle shop was vandalized with 'ugly display of hate.'. Support is rolling in for a San Antonio man whose noodle shop was tagged with racist graffiti after he spoke out against Texas Gov.,0
Arrest warrant issued after woman rejects mask at Texas bank. An arrest warrant has been issued for a woman who refused to wear a mask at a Texas bank.,0
Texas ramen shop still requiring masks hit with anti-Asian graffiti. A Texas ramen restaurant was covered in racist graffiti after its chef and owner spoke against the governor's decision to lift mask mandates.,0
"Woman arrested at bank in Galveston for refusing to wear a mask. A woman in Galveston, Texas was arrested at a bank on Thursday for refusing to wear a mask — one day after Gov. Greg Abbott lifted the ...",0
"New Sedgwick County order lifts gathering restrictions, keeps masks and distancing. Sedgwick County's local health officer, Dr. Gerald Minns, has signed a new order lifting restrictions on gatherings and capacity.",1
Some central Alabama schools won't require masks after April 9. Cullman County Schools will not require masks in the classroom for its students or staff.,1
"All the Stars at the 2021 Grammys Matching their Masks to Their Outfits. Beyonce, Taylor Swift, Harry Styles and more matched their masks to their outfits perfectly.",1
Texas restaurant covered in racist graffiti after owner continues requiring masks. A Texas restaurant owner publicly opposed Governor Greg Abbott's decision to lift the state mask mandate — and his place of business ...,0
"Packed beaches, few masks as South Padre locals worry about spring break COVID-19 superspreader. Texas is open for Spring Break 2021 with businesses allowed to pack in capacity crowds and no mandatory face masks. And college kids are ...",0
PINS official says to wear face masks in areas where social distancing is impossible. Make sure to take a face mask to Padre Island National Seashore.,1
"Face masks go high-tech with built-in air sensors, HEPA filters and space-like designs. (NEXSTAR) – Before coronavirus, many of us only saw face masks at the doctor's office. These days, they're everywhere, and available in a ...",1
